Zeit  1 - Schnelle Messrate [s]	Kraft [kN]	DMS hinten [stra]	DMS vorn [stra]
0,110833338597634	-1,59375001771878E-03	1,59100999869406	1,09426932036877	
0,111250005284091	-2,22916669144979E-04	1,19865685421973	0,633524343371391	
0,111666671970549	5,04166672271822E-04	0,809903279878199	9,35888234525919E-02	
0,112083338657006	-1,87500002084562E-05	0,766708438284695	-6,47922623902559E-02	
0,112500005343463	-4,64583338498414E-04	0,863896831870079	4,67944117262959E-02	
0,112916672029921	3,54166670604172E-05	0,788305859081447	-0,01799785066396	
0,113333338716378	1,26875001410554E-03	0,611926922574639	-0,280766470357776	
0,113750005402835	0,002352083359483	0,30596346128732	-0,629924773238599	
0,114166672089292	2,61458336240139E-03	-0,21597420796752	-1,01867834758013	
0,11458333877575	2,27916669200567E-03	-0,525537239387631	-1,17345986329019	
0,115000005462207	1,52291668359794E-03	-0,604727782309055	-1,06547275930643	
0,115416672148664	1,06250001181252E-03	-0,507539388723671	-0,827901130542159	
0,115833338835121	1,39791668220823E-03	-0,284366040490568	-0,547134660184383	
0,116250005521579	1,8812500209151E-03	-9,71883935853839E-02	-0,345558732748032	
0,116666672208036	1,58958335100579E-03	-7,91905429214239E-02	-0,277166900224984	
0,117083338894493	1,03750001153458E-03	-0,345558732748032	-0,424749275669456	
0,117500005580951	1,26250001403605E-03	-0,388753574341536	-0,37795486394316	
0,117916672267408	2,28125002536217E-03	-9,35888234525919E-02	-0,147582375444472	
0,118333338953865	3,2083333690025E-03	-0,122385384514928	-0,514738528989255	
0,118750005640322	2,92291669916267E-03	-0,651522194035351	-1,42183020245284	
0,11916667232678	2,01458335573079E-03	-1,1698602931574	-2,09854938741773	
0,119583339013237	2,18958335767638E-03	-1,48662246484309	-2,30372488498688	
0,120000005699694	3,44375003828645E-03	-1,71699495334178	-2,2029369212687	
0,120416672386151	3,81875004245558E-03	-1,87537603918463	-1,99776142369956	
0,120833339072609	2,08958335656462E-03	-1,54781515710056	-1,55141472723335	
0,121250005759066	5,20833339123783E-05	-1,17345986329019	-1,19865685421973	
0,121666672445523	-6,35416673731015E-04	-1,01867834758013	-0,935888234525919	
0,122083339131981	-2,91666669909318E-05	-0,763108868151903	-0,734312307089567	
0,122500005818438	8,45833342737023E-04	-0,730712736956775	-0,777507148683071	
0,122916672504895	1,30416668116595E-03	-0,583130361512303	-0,737911877222359	
0,123333339191352	1,03750001153458E-03	-0,370755723677576	-0,575931221246719	
0,12375000587781	7,16666674634325E-04	-0,208775067701936	-0,349158302880824	
0,124166672564267	9,62500010700751E-04	9,71883935853839E-02	-0,043194841593504	
0,124583339250724	1,33750001486987E-03	0,349158302880824	0,100787963718176	
0,125000005937181	1,22083334690615E-03	0,302363891154528	0,028796561062336	
0,125416672623639	7,08333341208345E-04	0,201575927436352	-8,27901130542159E-02	
0,125833339310096	3,31250003682726E-04	5,03939818590879E-02	-0,313162601552904	
0,126250005996553	4,16666671299026E-04	-0,118785814382136	-0,478742827661335	
0,12666667268301	0,001068750011882	-0,136783665046096	-0,352757873013616	
0,127083339369468	1,65625001841363E-03	0,212374637834728	0,003599570132792	
0,127500006055925	1,2854166809575E-03	0,284366040490568	0,003599570132792	
0,127916672742382	4,04166671160056E-04	0,14398280531168	-0,129584524780512	
0,12833333942884	1,29166668102698E-04	0,205175497569144	7,91905429214239E-02	
0,128750006115297	9,79166677552712E-04	0,518338099122047	0,619126062840223	
0,129166672801754	1,60000001778826E-03	0,903492103330791	1,16626072302461	
0,129583339488211	1,05000001167355E-03	1,09426932036877	1,40743192192167	
0,130000006174669	2,00000002223533E-04	1,14466330222785	1,33184094913304	
0,130416672861126	-2,75000003057357E-04	1,31744266860187	1,03667619824409	
0,130833339547583	-3,52083337247677E-04	1,45422633364797	0,737911877222359	
0,13125000623404	-4,06250004516551E-04	1,25624997634441	0,439147556200624	
0,131666672920498	-1,00000001111766E-03	0,752310157753527	6,83918325230479E-02	
0,132083339606955	-1,59791668443177E-03	0,345558732748032	-0,10798710398376	
